('be58ef12-b276-4cc5-bc6d-60d1bbd1386b', 'Abarth', 'Абарт', 'Италия', false),
('afc13f7e-ad0a-463d-8d33-6919807fc8a6', 'AC', 'АС', 'Великобритания', false),
('e8dc331f-87d8-4de3-9ecf-726073d0b07a', 'Acura', 'Акура', 'Япония', false),
('f061c16a-e37b-4f24-a5ae-1c335f3f3a90', 'Adam', 'Адам', 'Пакистан', false),
('ad58db0a-3cd4-4c2e-a00d-8bde7d26471c', 'Adler', 'Адлер', 'Германия', false),
('7c43674f-c6ee-4785-9d79-c44ab618134c', 'GAC Aion', 'ГАК Аион', 'Китай', false),
('3ff5f824-676b-4505-892e-4e2f2c890eb2', 'Aito', 'Аито', 'Китай', false),
('4f7642a8-a8f7-48f7-ad39-e6c884176ade', 'Aiways', 'Айвэйс', 'Китай', false),
('69670fe0-7355-4e10-92fb-b069507de693', 'Aixam', 'Аиксам', 'Франция', false),
('d3d4f8a2-5232-4457-a6ba-27b21dad524a', 'Alfa Romeo', 'Альфа Ромео', 'Италия', false),
('9257c4ca-a11e-46db-97e1-a0491c2624cf', 'Alpina', 'Альпина', 'Германия', false),
('23e48acb-f14b-403c-962f-faf1a980aa45', 'Alpine', 'Альпин', 'Франция', false),
('5eeb35c8-e029-4e57-ae28-86ec2f780fbb', 'Амберавто', 'Амберавто', 'Россия', false),
('a1f9c435-04e6-4a31-97a4-88356f136012', 'Ambertruck', 'Амбертрак', 'Россия', false),
('137a6207-dad7-4eb8-a9d3-fcac8251f280', 'AMC', 'АМС', 'Северная Америка', false),
('a330843b-3182-4650-8712-1d3e288625ad', 'AM General', 'АМ Дженерал', 'США', false),
('39062921-f231-47c1-8244-77eaabb874ab', 'Apal', 'Апал', 'Россия', false),
('76c857fe-2b45-446d-bda6-a53908b7b74c', 'Arcfox', 'Аркфокс', 'Китай', false),
('603beb5b-7f51-404e-84d8-cfb5b9e37f3c', 'Ariel', 'Ариэль', 'Великобритания', false),
('3312a3c0-b8da-41d1-98b5-8cf1500812b2', 'Aro', 'Аро', 'Румыния', false),
('d53fd9f5-73b6-45c1-a234-3bed630d3a0b', 'Asia', 'Эйша', 'Южная Корея', false),
('f9bf201e-db91-4ef7-ad8f-df57655c360f', 'Aston Martin', 'Астон Мартин', 'Великобритания', false),
('70eee1dd-44a4-48ab-9d1c-5a6e6feec35d', 'Атом', 'Атом', 'Россия', false),
('03ebd304-07ed-4eca-9968-b520628e8844', 'Auburn', 'Оберн', 'США', false),
('ff38bd7d-3930-4796-a266-ba3c3def6ee2', 'Audi', 'Ауди', 'Германия', true),
('6d5b7d6f-d571-4585-8c01-79347eeac543', 'Aurus', 'Аурус', 'Россия', false),
('50cfce3b-4cfb-4dc4-91ac-2b577a817f10', 'Austin', 'Остин', 'Великобритания', false),
('c683c648-a404-4f7e-99d5-1fbb35bcc7b7', 'Austin Healey', 'Остин Хэйли', 'Великобритания', false),
('cfb0ffcf-76c7-47ed-8bc5-f905952fae34', 'Autobianchi', 'Аутобьянки', 'Италия', false),
('4112cba1-0032-486e-9684-b6c5ac0886b4', 'Auto Union', 'Авто Юнион', 'Германия', false),
('8c2b8383-16e1-48fc-80f7-743764df062c', 'Avatr', 'Аватр', 'Китай', false),
('f0da0c0a-f231-4b24-bd05-70f1135dfb8d', 'Автокам', 'Автокам', 'Россия', false),
('b1e1cde7-d22e-4f5f-aa3c-d511b9162090', 'BAIC', 'БАИК', 'Китай', false),
('6b97b1bc-1a8e-4c59-9ea4-ea05e3082136', 'Bajaj', 'Баджадж', 'Индия', false),
('ca82bf09-fa7e-4110-bf84-a1e79a8cf37c', 'Baltijas Dzips', 'Балтиас Джипс', 'Латвия', false),
('bebba7c6-a9e4-4177-a5dc-2fdf06206367', 'Baojun', 'Баоджун', 'Китай', false),
('1bf7add5-617d-4eb5-99f9-4f012fbd5f93', 'Batmobile', 'Бэтмобиль', 'США', false),
('9c1b92d1-de6a-4603-9170-7539ba6ab41e', 'BAW', 'БАВ', 'Китай', false),
('18aeffa5-6bb4-4985-a299-fb8c9406f685', 'Belgee', 'Белджи', 'Беларусь', false),
('4f308f31-a3b8-4aaa-8168-21ed52353963', 'Bentley', 'Бентли', 'Великобритания', false),
('4323ab57-36b8-46e5-9c24-2c9d52562e36', 'Bertone', 'Бертоне', 'Италия', false),
('d052ac7c-2d33-431d-a6bc-bc2ed01cad37', 'Bestune', 'Бестюн', 'Китай', false),
('8ce833d2-745f-49b8-9f95-78ec69e69dd0', 'Bilenkin', 'Биленкин', 'Россия', false),
('8d30aa3d-96dc-4b5e-9af2-a69c9e1536a8', 'Bio Auto', 'Био Авто', 'Китай', false),
('d90ba9cd-bc08-4055-9a76-f9468470ee7b', 'Bitter', 'Биттер', 'Германия', false),
('9d059d38-4ed0-443f-8464-3c14b8f98433', 'Blaval', 'Блавал', 'Китай', false),
('44cdda87-6034-4742-9d16-bdba1bea8852', 'BMW', 'БМВ', 'Германия', true),
('97b34786-9d71-4488-9ba8-9e091725aa71', 'Borgward', 'Боргвард', 'Германия', false),
('db6ed0f4-140f-404d-937c-7531af745e38', 'Brabus', 'Брабус', 'Германия', false),
