('124 Spider', '124 спайдер', 'S', 2016, 2020, 'be58ef12-b276-4cc5-bc6d-60d1bbd1386b')
('500', '500', 'A', 2008, null, 'be58ef12-b276-4cc5-bc6d-60d1bbd1386b')
('600e', '600е', 'B', 2024, null, 'be58ef12-b276-4cc5-bc6d-60d1bbd1386b')
('378 GT Zagato', '378 ДжиТи Загато', 'S', 2012, 2012, 'afc13f7e-ad0a-463d-8d33-6919807fc8a6')
('Ace', 'асе', 'S', 1992, 2000, 'afc13f7e-ad0a-463d-8d33-6919807fc8a6')
('Aceca', 'Асека', 'S', 1998, 2000, 'afc13f7e-ad0a-463d-8d33-6919807fc8a6')
('Cobra', 'Кобра', 'S', 1965, 2015, 'afc13f7e-ad0a-463d-8d33-6919807fc8a6')
('Cobra GT', 'Кобра ГТ', 'S', 2023, null, 'afc13f7e-ad0a-463d-8d33-6919807fc8a6')
('ADX', 'АДИкс', 'C', 2024, null, 'e8dc331f-87d8-4de3-9ecf-726073d0b07a')
('CDX', 'сдх', 'D', 2016, 2021, 'e8dc331f-87d8-4de3-9ecf-726073d0b07a')
('CL', 'сл', 'D', 1996, 2003, 'e8dc331f-87d8-4de3-9ecf-726073d0b07a')
('CSX', 'цсх', 'C', 2005, 2011, 'e8dc331f-87d8-4de3-9ecf-726073d0b07a')
('EL', 'ЕЛ', 'C', 1997, 2005, 'e8dc331f-87d8-4de3-9ecf-726073d0b07a')
('ILX', 'ИЛХ', 'D', 2012, 2022, 'e8dc331f-87d8-4de3-9ecf-726073d0b07a')
('Integra', 'интегра', 'C', 1986, null, 'e8dc331f-87d8-4de3-9ecf-726073d0b07a')
('Legend', 'легенд', 'E', 1986, 1996, 'e8dc331f-87d8-4de3-9ecf-726073d0b07a')
('MDX', 'мдх', 'E', 2000, null, 'e8dc331f-87d8-4de3-9ecf-726073d0b07a')
('NSX', 'нсх', 'S', 1990, 2022, 'e8dc331f-87d8-4de3-9ecf-726073d0b07a')
('RDX', 'РДХ', 'D', 2006, null, 'e8dc331f-87d8-4de3-9ecf-726073d0b07a')
('RL', 'рл', 'F', 1995, 2012, 'e8dc331f-87d8-4de3-9ecf-726073d0b07a')
('RLX', 'рлх', 'E', 2013, 2020, 'e8dc331f-87d8-4de3-9ecf-726073d0b07a')
('RSX', 'рсх', 'C', 2001, 2006, 'e8dc331f-87d8-4de3-9ecf-726073d0b07a')
('SLX', 'слх', 'J', 1995, 1999, 'e8dc331f-87d8-4de3-9ecf-726073d0b07a')
('TL', 'тл', 'E', 1995, 2014, 'e8dc331f-87d8-4de3-9ecf-726073d0b07a')
('TLX', 'тлх', 'D', 2014, null, 'e8dc331f-87d8-4de3-9ecf-726073d0b07a')
('TSX', 'тсх', 'D', 2003, 2014, 'e8dc331f-87d8-4de3-9ecf-726073d0b07a')
('ZDX', 'здх', 'E', 2009, 2013, 'e8dc331f-87d8-4de3-9ecf-726073d0b07a')
('Revo', 'Рево', 'A', 2005, 2006, 'f061c16a-e37b-4f24-a5ae-1c335f3f3a90')
('Diplomat', 'Дипломат', 'F', 1934, 1940, 'ad58db0a-3cd4-4c2e-a00d-8bde7d26471c')
('Trumpf Junior', 'Трумф Джуниор', '', 1934, 1941, 'ad58db0a-3cd4-4c2e-a00d-8bde7d26471c')
('Hyptec GT (Hyper GT)', 'Гипер Джи Ти', 'E', 2023, null, '7c43674f-c6ee-4785-9d79-c44ab618134c')
('Hyptec HL', 'Хиптек Аш Эл', 'E', 2025, null, '7c43674f-c6ee-4785-9d79-c44ab618134c')
('Hyptec HT (Hyper HT)', 'Гипер Аш Ти', 'E', 2023, null, '7c43674f-c6ee-4785-9d79-c44ab618134c')
('Hyptec SSR (Hyper SSR)', 'Гипер Эс Эс Эр', 'S', 2023, null, '7c43674f-c6ee-4785-9d79-c44ab618134c')
('LX', 'ЛХ', 'D', 2019, 2022, '7c43674f-c6ee-4785-9d79-c44ab618134c')
('LX Plus', 'ЛХ Плюс', 'D', 2022, null, '7c43674f-c6ee-4785-9d79-c44ab618134c')
('RT', 'РТ', 'C', 2024, null, '7c43674f-c6ee-4785-9d79-c44ab618134c')
('S', 'С', 'C', 2019, null, '7c43674f-c6ee-4785-9d79-c44ab618134c')
('S Plus', 'С Плюс', 'C', 2021, 2023, '7c43674f-c6ee-4785-9d79-c44ab618134c')
('UT', 'ЮТ', 'C', 2025, null, '7c43674f-c6ee-4785-9d79-c44ab618134c')
('V', 'Ви', 'C', 2020, null, '7c43674f-c6ee-4785-9d79-c44ab618134c')
('Y', 'игрек', 'B', 2021, 2022, '7c43674f-c6ee-4785-9d79-c44ab618134c')
('Y Plus', 'У Плюс', '', 2022, null, '7c43674f-c6ee-4785-9d79-c44ab618134c')
('M5', 'м5', 'D', 2022, null, '3ff5f824-676b-4505-892e-4e2f2c890eb2')
('M7', 'м7', 'D', 2022, null, '3ff5f824-676b-4505-892e-4e2f2c890eb2')
('M8', 'М8', 'E', 2025, null, '3ff5f824-676b-4505-892e-4e2f2c890eb2')
('M9', 'м9', 'E', 2023, null, '3ff5f824-676b-4505-892e-4e2f2c890eb2')
('U5', 'Ю5', 'C', 2019, null, '4f7642a8-a8f7-48f7-ad39-e6c884176ade')
('U6', 'Ю6', 'D', 2021, null, '4f7642a8-a8f7-48f7-ad39-e6c884176ade')
('500', '500', 'A', 2000, 2004, '69670fe0-7355-4e10-92fb-b069507de693')
('105/115', '105/115', 'S', 1965, 1977, 'd3d4f8a2-5232-4457-a6ba-27b21dad524a')
('145', '145', 'C', 1994, 2001, 'd3d4f8a2-5232-4457-a6ba-27b21dad524a')
('146', '146', 'C', 1995, 2001, 'd3d4f8a2-5232-4457-a6ba-27b21dad524a')
('147', '147', 'C', 2000, 2010, 'd3d4f8a2-5232-4457-a6ba-27b21dad524a')
('155', '155', 'D', 1992, 1997, 'd3d4f8a2-5232-4457-a6ba-27b21dad524a')
('156', '156', 'D', 1997, 2007, 'd3d4f8a2-5232-4457-a6ba-27b21dad524a')
('159', '159', 'D', 2005, 2011, 'd3d4f8a2-5232-4457-a6ba-27b21dad524a')
('164', '164', 'E', 1987, 1998, 'd3d4f8a2-5232-4457-a6ba-27b21dad524a')
('166', '166', 'E', 1998, 2007, 'd3d4f8a2-5232-4457-a6ba-27b21dad524a')
('1900', '1900', 'C', 1950, 1959, 'd3d4f8a2-5232-4457-a6ba-27b21dad524a')
('2600', '2600', 'S', 1962, 1968, 'd3d4f8a2-5232-4457-a6ba-27b21dad524a')
('33', '33', 'C', 1983, 1994, 'd3d4f8a2-5232-4457-a6ba-27b21dad524a')
('33 Stradale', '33 Страдале', 'S', 2023, null, 'd3d4f8a2-5232-4457-a6ba-27b21dad524a')
('4C', '4с', 'S', 2013, 2016, 'd3d4f8a2-5232-4457-a6ba-27b21dad524a')
('6', '6', 'E', 1979, 1988, 'd3d4f8a2-5232-4457-a6ba-27b21dad524a')
('6C', '6с', 'S', 1927, 1933, 'd3d4f8a2-5232-4457-a6ba-27b21dad524a')
('75', '75', 'D', 1985, 1992, 'd3d4f8a2-5232-4457-a6ba-27b21dad524a')
('8C Competizione', '8с компетизион', 'S', 2007, 2010, 'd3d4f8a2-5232-4457-a6ba-27b21dad524a')
('90', '90', 'E', 1984, 1987, 'd3d4f8a2-5232-4457-a6ba-27b21dad524a')
('Alfasud', 'Альфасуд', 'C', 1971, 1983, 'd3d4f8a2-5232-4457-a6ba-27b21dad524a')
('Alfetta', 'Альфетта', 'D', 1972, 1987, 'd3d4f8a2-5232-4457-a6ba-27b21dad524a')
('Arna', 'Арна', 'C', 1983, 1987, 'd3d4f8a2-5232-4457-a6ba-27b21dad524a')
('Brera', 'Брера', 'C', 2005, 2010, 'd3d4f8a2-5232-4457-a6ba-27b21dad524a')
('Disco Volante', 'диско воланте', 'S', 2013, 2013, 'd3d4f8a2-5232-4457-a6ba-27b21dad524a')
('Giulia', 'Джулия', 'C', 1962, null, 'd3d4f8a2-5232-4457-a6ba-27b21dad524a')
('Giulietta', 'Джульетта', 'B', 1954, 2020, 'd3d4f8a2-5232-4457-a6ba-27b21dad524a')
('GT', 'гт', 'D', 2003, 2010, 'd3d4f8a2-5232-4457-a6ba-27b21dad524a')
('GTA Coupe', 'гта купе', 'S', 1965, 1975, 'd3d4f8a2-5232-4457-a6ba-27b21dad524a')
('GTV', 'гтв', 'C', 1995, 2006, 'd3d4f8a2-5232-4457-a6ba-27b21dad524a')
('Junior', 'Джуниор', 'B', 2024, null, 'd3d4f8a2-5232-4457-a6ba-27b21dad524a')
('MiTo', 'Мито', 'B', 2008, 2018, 'd3d4f8a2-5232-4457-a6ba-27b21dad524a')
('Montreal', 'Монреаль', 'S', 1970, 1979, 'd3d4f8a2-5232-4457-a6ba-27b21dad524a')
('RZ', 'рз', 'S', 1992, 1994, 'd3d4f8a2-5232-4457-a6ba-27b21dad524a')
('Spider', 'Спайдер', 'S', 1966, 2010, 'd3d4f8a2-5232-4457-a6ba-27b21dad524a')
('Sprint', 'Спринт', 'C', 1983, 1989, 'd3d4f8a2-5232-4457-a6ba-27b21dad524a')
('Stelvio', 'Стелвио', 'D', 2016, null, 'd3d4f8a2-5232-4457-a6ba-27b21dad524a')
('SZ', 'сз', 'S', 1989, 1991, 'd3d4f8a2-5232-4457-a6ba-27b21dad524a')
('Tonale', 'Тонале', 'C', 2022, null, 'd3d4f8a2-5232-4457-a6ba-27b21dad524a')
('B10', 'б10', 'E', 1984, 2004, '9257c4ca-a11e-46db-97e1-a0491c2624cf')
('B11', 'б11', 'F', 1987, 1994, '9257c4ca-a11e-46db-97e1-a0491c2624cf')
('B12', 'б12', 'F', 1988, 2001, '9257c4ca-a11e-46db-97e1-a0491c2624cf')
('B3', 'б3', 'D', 1987, null, '9257c4ca-a11e-46db-97e1-a0491c2624cf')
('B4', 'б4', 'D', 2013, null, '9257c4ca-a11e-46db-97e1-a0491c2624cf')
('B5', 'б5', 'E', 2005, null, '9257c4ca-a11e-46db-97e1-a0491c2624cf')
('B6', 'б6', 'D', 1978, 2017, '9257c4ca-a11e-46db-97e1-a0491c2624cf')
('B7', 'б7', 'S', 1978, 2022, '9257c4ca-a11e-46db-97e1-a0491c2624cf')
('B8', 'б8', 'F', 1979, null, '9257c4ca-a11e-46db-97e1-a0491c2624cf')
('B9', 'б9', 'E', 1981, 1985, '9257c4ca-a11e-46db-97e1-a0491c2624cf')
('C1', 'с1', 'D', 1980, 1987, '9257c4ca-a11e-46db-97e1-a0491c2624cf')
('C2', 'с2', 'D', 1985, 1987, '9257c4ca-a11e-46db-97e1-a0491c2624cf')
('D10', 'д10', 'E', 1999, 2003, '9257c4ca-a11e-46db-97e1-a0491c2624cf')
